"species","decimalLongitude","decimalLatitude"
"Oeneis jutta",-90.174186,45.872838
"Oeneis jutta",-90.167627,45.818114
"Oeneis jutta",-77.969001,46.196238
"Oeneis jutta",-72.193276,46.361018
"Oeneis jutta",24.589241,64.653189
"Oeneis jutta",22.263423,61.640231
"Oeneis jutta",22.26468,61.643745
"Oeneis jutta",-74.12303,44.410683
"Oeneis jutta",25.152574,62.507601
"Oeneis jutta",24.829622,61.605305
"Oeneis jutta",25.158106,62.417924
"Oeneis jutta",-90.187225,45.862174
"Oeneis jutta",11.693262,59.415191
"Oeneis jutta",11.866377,59.757836
"Oeneis jutta",11.894395,59.732648
"Oeneis jutta",11.896578,59.735587
"Oeneis jutta",11.69682,59.410273
"Oeneis jutta",11.699712,59.409985
"Oeneis jutta",22.421924,60.735203
"Oeneis jutta",29.272399,61.965721
"Oeneis jutta",23.369164,62.424862
"Oeneis jutta",-71.602851,46.579512
"Oeneis jutta",11.544807,61.18241
"Oeneis jutta",26.062265,65.079929
"Oeneis jutta",29.933682,61.770657
"Oeneis jutta",25.514702,65.148412
"Oeneis jutta",24.798349,64.656451
"Oeneis jutta",27.092795,62.160883
"Oeneis jutta",25.833534,65.52397
"Oeneis jutta",25.506156,65.150212
"Oeneis jutta",24.805591,64.566821
"Oeneis jutta",24.809862,64.453137
"Oeneis jutta",21.63597,62.130164
"Oeneis jutta",22.034385,60.874545
"Oeneis jutta",29.717361,62.21958
"Oeneis jutta",24.979855,61.658314
"Oeneis jutta",21.677681,61.961241
"Oeneis jutta",21.928016,62.376385
"Oeneis jutta",28.11349,64.239168
"Oeneis jutta",28.260873,61.151902
"Oeneis jutta",28.696846,61.831934
"Oeneis jutta",28.080889,62.964285
"Oeneis jutta",28.985751,61.937686
"Oeneis jutta",11.972261,60.225598
"Oeneis jutta",11.54593,61.182332
"Oeneis jutta",11.984271,60.223011
"Oeneis jutta",12.020743,60.156739
"Oeneis jutta",11.028132,60.240169
"Oeneis jutta",11.946767,60.364581
"Oeneis jutta",12.121822,61.163035
"Oeneis jutta",11.845733,60.204134
"Oeneis jutta",11.029156,60.244208
"Oeneis jutta",11.032677,60.242389
"Oeneis jutta",11.917625,60.414879
"Oeneis jutta",11.968398,60.179359
"Oeneis jutta",-71,45
"Oeneis jutta",24.694528,60.884864
"Oeneis jutta",26.622472,64.290909
"Oeneis jutta",30.454127,62.724691
"Oeneis jutta",26.407086,64.101483
"Oeneis jutta",28.802892,61.880938
"Oeneis jutta",25.476864,62.861576
"Oeneis jutta",22.258851,61.636962
"Oeneis jutta",31.3492,62.9361
"Oeneis jutta",22.250067,61.637624
"Oeneis jutta",25.278348,63.389126
"Oeneis jutta",24.968766,62.592669
"Oeneis jutta",25.309902,63.325621
"Oeneis jutta",29.5066,62.9088
"Oeneis jutta",29.41035,62.9462
"Oeneis jutta",29.454259,61.6794
"Oeneis jutta",25.299861,63.323366
"Oeneis jutta",29.45272,61.679648
"Oeneis jutta",23.504898,62.166033
"Oeneis jutta",31.47845,62.90345
"Oeneis jutta",29.4102,62.9427
"Oeneis jutta",24.956842,62.569468
"Oeneis jutta",25.294294,63.321445
"Oeneis jutta",23.088859,60.505481
"Oeneis jutta",26.504012,64.735089
"Oeneis jutta",31.46145,62.90275
"Oeneis jutta",24.959891,62.592298
"Oeneis jutta",22.433701,62.1392
"Oeneis jutta",22.277052,61.642316
"Oeneis jutta",22.438631,62.135799
"Oeneis jutta",31.46575,62.90165
"Oeneis jutta",31.34955,62.9392
"Oeneis jutta",22.246266,61.643038
"Oeneis jutta",23.466725,62.14681
"Oeneis jutta",29.4931,62.9025
"Oeneis jutta",25.272615,63.389451
"Oeneis jutta",22.61561,62.720542
"Oeneis jutta",31.48885,62.89775
"Oeneis jutta",29.42005,62.94795
"Oeneis jutta",25.269157,63.391353
"Oeneis jutta",25.40468,60.638491
"Oeneis jutta",31.3533,62.9332
"Oeneis jutta",24.953311,62.569291
"Oeneis jutta",21.697059,61.95991
"Oeneis jutta",24.966539,62.590208
"Oeneis jutta",25.479155,62.857364
"Oeneis jutta",23.357391,62.422045
"Oeneis jutta",25.266786,63.39053
"Oeneis jutta",25.405422,60.636288
