Oeneis.jutta,lon,lat
1,-90.174186,45.872838
1,-90.167627,45.818114
1,-77.969001,46.196238
1,-72.193276,46.361018
1,24.589241,64.653189
1,22.263423,61.640231
1,22.26468,61.643745
1,-74.12303,44.410683
1,25.152574,62.507601
1,24.829622,61.605305
1,25.158106,62.417924
1,-90.187225,45.862174
1,11.693262,59.415191
1,11.866377,59.757836
1,11.894395,59.732648
1,11.896578,59.735587
1,11.69682,59.410273
1,11.699712,59.409985
1,22.421924,60.735203
1,29.272399,61.965721
1,23.369164,62.424862
1,-71.602851,46.579512
1,11.544807,61.18241
1,26.062265,65.079929
1,29.933682,61.770657
1,25.514702,65.148412
1,24.798349,64.656451
1,27.092795,62.160883
1,25.833534,65.52397
1,25.506156,65.150212
1,24.805591,64.566821
1,24.809862,64.453137
1,21.63597,62.130164
1,22.034385,60.874545
1,29.717361,62.21958
1,24.979855,61.658314
1,21.677681,61.961241
1,21.928016,62.376385
1,28.11349,64.239168
1,28.260873,61.151902
1,28.696846,61.831934
1,28.080889,62.964285
1,28.985751,61.937686
1,11.972261,60.225598
1,11.54593,61.182332
1,11.984271,60.223011
1,12.020743,60.156739
1,11.028132,60.240169
1,11.946767,60.364581
1,12.121822,61.163035
1,11.845733,60.204134
1,11.029156,60.244208
1,11.032677,60.242389
1,11.917625,60.414879
1,11.968398,60.179359
1,-71,45
1,24.694528,60.884864
1,26.622472,64.290909
1,30.454127,62.724691
1,26.407086,64.101483
1,28.802892,61.880938
1,25.476864,62.861576
1,22.258851,61.636962
1,31.3492,62.9361
1,22.250067,61.637624
1,25.278348,63.389126
1,24.968766,62.592669
1,25.309902,63.325621
1,29.5066,62.9088
1,29.41035,62.9462
1,29.454259,61.6794
1,25.299861,63.323366
1,29.45272,61.679648
1,23.504898,62.166033
1,31.47845,62.90345
1,29.4102,62.9427
1,24.956842,62.569468
1,25.294294,63.321445
1,23.088859,60.505481
1,26.504012,64.735089
1,31.46145,62.90275
1,24.959891,62.592298
1,22.433701,62.1392
1,22.277052,61.642316
1,22.438631,62.135799
1,31.46575,62.90165
1,31.34955,62.9392
1,22.246266,61.643038
1,23.466725,62.14681
1,29.4931,62.9025
1,25.272615,63.389451
1,22.61561,62.720542
1,31.48885,62.89775
1,29.42005,62.94795
1,25.269157,63.391353
1,25.40468,60.638491
1,31.3533,62.9332
1,24.953311,62.569291
1,21.697059,61.95991
1,24.966539,62.590208
1,25.479155,62.857364
1,23.357391,62.422045
1,25.266786,63.39053
1,25.405422,60.636288
1,22.430099,62.188191
1,21.848376,62.080683
1,28.181888,64.242027
1,21.801418,62.410608
1,28.113179,64.23837
1,11.700853,59.409898
1,11.841197,62.489635
1,27.147294,64.055008
1,9.916934,62.066183
1,9.91175,62.065001
1,11.92289,59.769652
1,11.923411,59.773962
1,10.455977,63.236647
1,11.749102,60.883762
1,15.08332,59.41041
1,16.13326,58.82026
1,18.33593,59.6761
1,23.39972,65.89301
1,16.53558,62.65615
1,14.79991,59.60277
1,16.13065,58.81362
1,15.69086,62.57971
1,15.66391,62.26939
1,15.78143,60.10936
1,17.89246,66.02998
1,16.54633,62.66263
1,12.67327,62.6717
1,15.67133,62.5654
1,16.00749,59.78346
1,13.05675,62.80073
1,12.67058,62.67446
1,14.99857,57.92457
1,12.63595,60.92633
1,20.48452,67.84222
1,14.78661,61.3767
1,12.43589,61.9579
1,21.67664,65.93069
1,17.50982,60.0773
1,16.89954,60.71878
1,21.88012,65.78245
1,15.67991,62.58566
1,15.33483,58.08625
1,14.38541,61.09399
1,14.85281,59.36817
1,19.58757,63.58666
1,14.78801,61.38198
1,16.05097,58.8224
1,14.86054,60.22456
1,12.84372,61.23402
1,23.5532,66.29834
1,14.9983,57.92538
1,14.83163,59.3219
1,17.16104,59.9708
1,16.3107,61.3644
1,14.85275,59.36771
1,17.15457,59.96981
1,17.70159,64.16728
1,14.89173,60.93685
1,19.15903,65.60609
1,13.20079,61.61976
1,14.99861,57.92483
1,20.62613,63.9617
1,12.67109,62.67428
1,14.4785,61.48847
1,18.68251,63.17869
1,16.04943,58.82212
1,14.79309,61.38508
1,16.93248,60.6491
1,17.15877,59.96905
1,19.78716,64.0761
1,12.51633,62.60407
1,17.89032,66.03013
1,15.33069,58.0877
1,12.61123,62.59093
1,19.83862,63.65664
1,15.10212,59.59948
1,15.6857,62.58412
1,15.43074,61.98414
1,15.60249,62.31535
1,17.54333,63.65596
1,12.67178,62.67253
1,22.55252,66.45009
1,12.88399,62.67711
1,12.65071,60.92976
1,14.78977,61.38415
1,12.68117,62.67488
1,16.49638,62.69444
1,19.74281,63.59596
1,15.23554,63.48622
1,12.86794,61.20561
1,17.89401,66.02781
1,20.39168,64.26668
1,17.34311,60.6115
1,17.16043,59.97087
1,17.12923,62.80231
1,14.84091,60.47998
1,14.83037,59.31993
1,15.32352,58.08542
1,14.49171,61.28839
1,12.38672,60.90363
1,12.76337,62.77832
1,12.67332,62.67365
1,14.45072,59.20916
1,17.24472,66.23188
1,15.2549,58.68459
1,15.65747,62.61247
1,18.68975,65.73209
1,15.0544,60.11489
1,17.10303,60.19856
1,17.07034,62.54145
1,23.12944,65.72999
1,19.42545,65.28652
1,16.26779,60.96857
1,12.66692,62.67823
1,14.83747,60.48144
1,13.98662,60.49577
1,18.8598,65.59875
1,20.49514,64.88049
1,14.79154,61.38619
1,14.79242,61.38781
1,20.71661,66.50416
1,19.85521,63.67759
1,16.90932,60.4024
1,20.20776,63.86855
1,14.95411,59.40913
1,21.5239,64.41648
1,17.33012,66.17093
1,19.84822,64.06595
1,19.25947,65.28711
1,15.3388,59.6152
1,14.6351,63.2251
1,14.55254,61.27692
1,20.36444,63.79147
1,12.66695,62.67137
1,13.99734,59.83234
1,14.85244,59.36837
1,15.64932,62.27629
1,14.79313,59.34408
1,15.09061,59.5943
1,12.64882,60.92968
1,17.16301,59.97029
1,19.92216,67.02048
1,18.41221,65.85088
1,14.83123,59.32094
1,17.81407,60.31671
1,12.87711,62.66298
1,14.47947,61.24546
1,14.78896,61.38437
1,17.1608,59.97125
1,14.86173,60.22046
1,14.78725,61.38188
1,12.53498,63.3157
1,15.64493,62.61082
1,19.83555,63.62137
1,17.22839,60.65276
1,16.11479,59.68564
1,15.33466,63.45693
1,13.91209,60.5086
1,19.313,65.23744
1,15.69228,62.58598
1,15.92841,61.04176
1,19.46395,65.28649
1,12.66696,62.67264
1,15.20959,63.45772
1,12.65883,62.66854
1,20.38114,63.90302
1,15.35405,63.45948
1,12.56361,62.56838
1,19.67168,65.25662
1,19.45195,65.28612
1,15.33488,63.45712
1,17.10841,60.14692
1,14.89974,62.38891
1,12.87074,61.20416
1,14.78551,61.37695
1,-113.828493,53.568704
1,-114.597933,50.732963
1,-113.828793,53.567328
1,22.591485,61.24994
1,-88.345627,48.538796
1,-70.527078,45.019136
1,-71.046032,44.886705
1,-54.015915,48.492136
1,-71.598941,46.581381
1,35.527511,56.367401
1,-114.59907,50.733355
1,-113.828965,53.567927
1,-53.976695,48.53684
1,-71.59946,46.581071
1,31.003125,58.597697
1,-79.46694,46.448105
1,-128.797762,60.112725
1,-53.950539,48.536019
1,-71.040833,44.879967
1,-128.701094,60.068306
1,59.911214,60.129346
1,35.525953,56.36633
1,-54.027609,48.488722
1,-89.073792,48.650385
1,38.273509,56.763966
1,-113.828772,53.568042
1,25.540934,66.424709
1,26.632404,64.297414
1,22.185535,62.172337
1,26.405561,64.099114
1,22.170364,62.168146
1,21.692337,61.965735
1,24.810879,64.452093
1,31.4421,62.9573
1,24.953506,62.569011
1,24.960112,62.56719
1,22.190987,62.169687
1,25.470926,62.858778
1,24.957578,62.569514
1,22.264335,61.641559
1,26.411993,64.096091
1,23.624371,60.462536
1,22.263338,61.645085
1,24.960469,62.567097
1,22.170577,62.170896
1,24.961712,62.590442
1,30.504373,63.380984
1,23.751427,67.953916
1,26.324846,64.803761
1,28.696624,61.832751
1,29.60601,62.266607
1,24.712322,65.710702
1,23.744233,68.003523
1,26.127361,65.507965
1,26.624425,64.290423
1,23.739862,68.00471
1,28.113884,64.240701
1,22.254584,61.643715
1,26.414029,64.095245
1,26.06167,63.775715
1,29.098042,63.401594
1,22.383905,60.743305
1,22.189693,62.167839
1,10.385154,60.771781
1,9.917122,62.706644
1,9.885178,62.653009
1,22.438012,62.134619
1,22.168091,62.171096
1,26.641687,64.285379
1,25.643108,62.893474
1,22.436276,62.1376
1,23.353137,62.423262
1,26.383859,64.105176
1,14.183,60.24033
1,14.79479,61.38756
1,20.55076,64.40801
1,17.3312,66.17152
1,14.62232,63.2377
1,16.85264,65.17808
1,12.67119,62.67429
1,12.67186,62.67455
1,13.4027,60.48222
1,14.79278,61.38406
1,17.24773,66.23275
1,17.62968,66.01359
1,14.62603,60.48325
1,13.19978,61.61919
1,27.843849,63.853854
1,-84.321026,55.245102
1,26.319784,63.894336
1,26.265813,63.916445
1,26.365039,63.934213
1,-71.15142,45.96912
1,15.14598,59.592534
1,15.14599,59.592663
1,15.146417,59.59254
1,22.481479,62.445376
1,-53.940827,48.58235
1,24.250782,67.903791
1,24.827137,60.761754
1,24.842097,61.425961
1,25.040559,61.249429
1,11.866053,61.330513
1,-68.459428,47.651332
1,12.66726,62.67517
1,19.76233,64.09535
1,25.565202,65.077411
1,25.559268,65.078691
1,25.31135,63.321361
1,25.642336,64.996745
1,27.461553,63.274231
1,24.809853,64.449267
1,22.360064,61.723481
1,29.718974,62.237505
1,25.113869,62.198135
1,24.79032,64.457712
1,-115.143271,50.690959
1,-88.784013,48.343024
1,-77.750888,53.712278
1,-115.257142,51.01659
1,-68.514551,63.749331
1,-115.258129,51.016536
1,-115.347949,50.837379
1,15.22891,60.94821
1,15.94481,61.51812
1,15.229,60.94808
1,-105.538413,40.132228
1,30.331915,62.335572
1,-105.519487,40.129299
1,-76.577174,47.095839
1,-105.738997,40.100961
1,-77.749343,53.711948
1,-77.334276,47.787698
1,-77.333787,47.785906
1,-78.138007,48.356938
1,26.708801,62.160608
1,-74.857217,45.495147
1,-92.386996,47.831906
1,-72.193486,46.354621
1,15.33648,59.61603
1,25.16906,62.238565
1,-74.858339,45.492463
1,-82.232505,50.151786
1,-85.183303,46.652425
1,-62.766606,46.098318
1,-64.284022,46.736618
1,-85.183288,46.65242
1,10.451036,63.235013
1,10.894858,63.400383
1,10.451243,63.235385
1,-93.960558,48.917448
1,-107.898147,44.819645
1,-135.896097,63.616675
1,-92.697918,47.167612
1,10.448125,63.235887
1,11.204696,63.397286
1,-135.948761,61.016608
1,-135.036744,60.699413
1,-92.726635,47.14766
1,-135.945633,60.823667
1,-149.017068,63.847233
1,-135.947586,60.820133
1,-149.292308,63.750588
1,-149.291195,63.74909
1,-114.961883,51.57636
1,-149.292158,63.739997
1,-114.961967,51.576405
1,-149.292315,63.750583
1,-149.258375,63.719842
1,-135.945633,60.823831
1,-140.535191,64.414417
1,-114.961841,51.576451
1,-138.134849,64.024185
1,26.27935,58.44383
1,-114.961634,51.575165
1,-114.961774,51.575115
1,-114.961657,51.575314
1,-114.961524,51.575286
1,-114.961475,51.575626
1,-114.962157,51.575201
1,-114.961889,51.575491
1,-114.961952,51.575482
1,-114.961097,51.575242
1,-114.961695,51.57538
1,-114.961403,51.574919
1,-114.961859,51.575038
1,-114.961475,51.575119
1,-114.962313,51.575225
1,-71.295555,48.534078
1,-114.961912,51.575106
1,-149.249736,63.726254
1,-71.049672,44.885444
1,-71.041672,44.881424
1,-81.609357,49.850753
1,16.20996,60.40177
1,15.97108,60.56074
1,18.02624,63.97235
1,14.70598,61.06897
1,15.24516,59.77757
1,17.88633,66.01342
1,17.99327,63.97203
1,14.62713,60.79853
1,23.960026,63.516305
1,26.470958,64.761585
1,22.007545,60.859937
1,26.51155,64.741893
1,21.653199,62.798614
1,21.769131,62.318877
1,26.769115,63.071433
1,24.02548,63.496947
1,27.864593,63.323594
1,24.389447,66.713936
1,23.678877,62.052939
1,23.788546,62.002717
1,25.133105,62.36411
1,25.1304,62.305299
1,-71.049183,44.8849
1,-114.557657,52.838952
1,-115.348657,50.838653
1,-135.174685,60.789343
1,-135.050357,60.79728
1,-135.07515,60.775853
1,-115.342377,50.838464
1,29.942251,61.860272
1,28.204733,61.168487
1,22.465076,61.007877
1,22.833804,61.019787
1,27.894795,63.324469
1,25.844587,64.668324
1,23.98424,60.601374
1,23.569121,61.596518
1,23.496762,63.374019
1,29.870649,63.118814
1,26.681058,64.762186
1,15.337677,59.615914
1,29.121186,60.560944
1,-90.181982,45.864873
1,-64.786087,45.45477
1,16.26526,59.74965
1,14.99873,57.94487
1,16.76237,60.1485
1,15.33952,59.61572
1,15.31971,59.63038
1,15.14598,59.59246
1,13.31068,60.27775
1,14.22002,59.52391
1,15.34069,59.61683
1,15.33856,59.61766
1,16.7743,60.14361
1,16.75598,59.2067
1,16.80742,60.16961
1,16.919,60.5297
1,16.48112,59.83494
1,15.37053,58.96221
1,14.40986,59.01211
1,15.33623,59.62471
1,13.77267,60.99085
1,15.81732,59.02184
1,14.95712,59.38779
1,14.66844,59.26269
1,14.41345,59.0124
1,11.696909,59.415987
1,17.32762,60.04421
1,21.952826,60.827803
1,22.585864,61.252083
1,21.462185,62.08252
1,23.085218,60.573455
1,22.114771,62.074594
1,16.76204,60.63136
1,17.09092,60.02948
1,25.676666,59.02387
1,25.51194,59.114711
1,25.684645,59.026105
1,25.682871,59.025414
1,25.687014,59.026912
1,25.670365,59.021841
1,25.683794,59.025886
1,25.68626,59.026724
1,25.662778,59.019896
1,25.416785,59.078044
1,27.322077,60.599576
1,30.460787,62.188641
1,38.637567,56.943059
1,24.808104,60.987145
1,23.993662,60.622927
1,23.068894,60.480015
1,26.797517,60.608524
1,27.343825,60.585403
1,27.601312,62.788269
1,24.140783,61.615103
1,11.437997,60.857438
1,11.477433,60.78446
1,11.224656,59.913078
1,-74.679806,44.22615
1,23.410591,62.331332
1,-72.263908,48.746495
1,-91.965659,48.071783
1,-74.122786,44.411178
1,24.898123,61.389768
1,-91.739579,47.876867
1,24.887846,61.393439
1,-91.6633,47.50524
1,15.16873,58.82399
1,17.24735,60.08408
1,17.242,63.68581
1,13.57163,60.30196
1,12.42754,63.22349
1,13.51557,61.38381
1,15.65836,62.68126
1,19.37083,65.27696
1,17.48636,64.87772
1,19.3541,63.45201
1,20.05915,64.62831
1,14.63471,63.24538
1,15.62389,61.46701
1,14.34997,60.47293
1,14.95496,59.37419
1,19.19229,65.28294
1,15.06,60.22101
1,17.81935,60.31499
1,19.5158,65.58963
1,15.10873,59.55534
1,13.96124,60.02301
1,17.76778,62.55733
1,20.36516,63.79164
1,16.12813,62.53781
1,16.26644,60.97021
1,18.04619,63.6272
1,14.48752,59.62396
1,14.90628,60.11229
1,15.33633,59.61753
1,12.77124,62.8017
1,19.16585,65.31562
1,14.92634,63.22217
1,14.90133,61.17733
1,12.52721,62.53914
1,19.38225,65.27973
1,16.96954,62.67218
1,17.16058,59.9708
1,14.86875,59.37136
1,18.50984,59.80512
1,22.24231,65.83184
1,14.65944,63.27374
1,14.99935,57.925
1,14.75975,63.20771
1,14.79329,61.38878
1,16.01574,59.82047
1,17.039,61.39711
1,19.63529,65.44328
1,17.49217,60.13161
1,17.07482,62.78078
1,19.43676,65.28892
1,18.24762,65.65504
1,14.6307,63.24216
1,15.34022,60.47261
1,18.71117,65.66619
1,16.96657,62.8863
1,18.8314,66.10684
1,14.38284,61.09288
1,17.24986,62.13767
1,12.67124,62.67452
1,20.36524,63.79082
1,15.56875,59.66962
1,13.87554,63.70345
1,15.70037,62.61164
1,17.16175,59.97451
1,17.33253,66.16851
1,17.5178,65.02753
1,19.32416,65.21032
1,14.43395,63.34085
1,14.71538,59.34546
1,17.16083,59.97121
1,14.65468,63.27446
1,19.64167,65.53324
1,17.25651,62.62824
1,13.06342,63.22143
1,17.15425,59.96178
1,16.91794,61.7751
1,17.32885,60.0472
1,12.67076,62.67416
1,14.7709,59.31237
1,13.16188,61.57936
1,12.43761,60.91568
1,20.33947,63.79057
1,19.49787,65.51963
1,12.67026,62.66437
1,20.02749,64.60513
1,21.97403,65.77263
1,17.32551,62.42817
1,12.65841,61.99872
1,19.24805,65.28141
1,17.16057,59.9708
1,16.82569,61.13855
1,16.74144,60.22686
1,15.86314,61.117
1,16.24746,64.11881
1,14.19949,63.42157
1,15.3287,58.087
1,17.01865,59.20314
1,20.33382,63.82321
1,17.17955,62.81426
1,13.04107,63.22695
1,17.16104,59.97119
1,17.45466,59.08713
1,19.55894,63.69639
1,12.63543,60.9253
1,17.16045,59.97095
1,14.60816,63.03592
1,13.23279,60.30132
1,17.03255,62.86535
1,12.97485,60.89299
1,17.49094,60.13148
1,17.15335,59.96947
1,12.63225,60.9257
1,14.63434,63.22504
1,15.61778,60.68472
1,14.99962,57.92407
1,14.6367,63.25695
1,17.85422,62.51876
1,20.935,64.76782
1,18.93418,65.62413
1,14.94469,59.34751
1,12.36089,59.44393
1,16.7551,59.20484
1,15.33257,58.08827
1,19.97143,63.85197
1,20.36541,63.79147
1,15.33591,59.61728
1,20.10307,63.67743
1,17.48631,60.12838
1,19.62504,65.26684
1,15.55114,62.68406
1,16.20242,59.85362
1,17.18112,62.81404
1,20.40017,66.69604
1,15.3378,59.61555
1,17.0177,59.20342
1,19.8641,64.02528
1,16.05132,58.82276
1,14.79448,61.38756
1,15.46249,58.96416
1,19.21978,65.3103
1,19.55419,63.6985
1,20.50759,63.86849
1,13.17321,60.28188
1,15.62354,58.98146
1,17.24308,66.23277
1,17.24184,66.23134
1,20.44969,67.09687
1,12.63445,60.92583
1,19.67252,63.99386
1,17.16071,59.97126
1,15.56073,63.8576
1,20.33137,63.87146
1,14.91962,61.12363
1,19.55598,65.19167
1,12.49469,61.85695
1,20.04513,64.59539
1,17.8925,66.03097
1,20.09889,63.88354
1,14.64811,61.02918
1,15.75234,62.5783
1,12.41095,61.02387
1,13.24857,60.25242
1,12.98222,60.80737
1,18.28105,65.96382
1,19.41805,65.26823
1,13.04904,63.22682
1,15.52604,62.71225
1,17.16036,59.97108
1,15.63128,62.6818
1,17.1597,59.97102
1,17.14154,61.43232
1,17.57909,66.07512
1,14.73512,60.21137
1,12.6595,62.6684
1,12.98831,61.18223
1,17.15922,59.96996
1,16.49011,58.69444
1,19.36996,65.27028
1,19.43676,65.15687
1,14.6622,63.23154
1,15.5146,62.71595
1,15.22025,60.86142
1,14.80152,59.41882
1,15.47192,62.72212
1,13.06553,63.22345
1,17.06189,62.81534
1,18.51299,65.9228
1,16.23167,61.11851
1,14.99875,57.92483
1,19.55593,65.19167
1,15.14574,59.59249
1,13.54364,63.19499
1,17.33368,60.04607
1,13.00937,62.80681
1,17.33072,60.04681
1,21.25091,66.18298
1,18.33544,59.67519
1,15.53513,62.6799
1,20.3655,63.79164
1,20.76922,64.84649
1,15.0375,59.99708
1,14.70338,60.29734
1,17.89319,66.03099
1,17.45243,59.08446
1,17.89206,66.02998
1,13.83892,61.01082
1,14.19313,59.92717
1,15.07307,59.4229
1,17.24275,66.23276
1,15.52231,62.71563
1,19.59105,63.60938
1,19.5589,63.69605
1,17.89299,66.02796
1,19.41753,65.58722
1,14.65956,63.23121
1,15.05405,63.21097
1,20.50808,63.86824
1,17.01726,59.20516
1,14.84179,61.39396
1,12.49555,61.96634
1,12.52747,62.5392
1,16.48416,59.83687
1,19.05499,65.62092
1,16.78787,61.11029
1,15.50542,58.65056
1,12.92944,61.70257
1,20.42223,63.82646
1,59.913092,60.130542
1,-135.128256,60.70667
1,-65.028556,46.191635
1,23.838268,61.436827
1,11.894665,61.964559
1,10.003621,60.09637
1,11.703539,60.056299
1,11.871201,59.760451
1,12.303955,60.759146
1,9.847135,60.259599
1,11.196898,60.856904
1,12.263001,60.780136
1,11.875351,59.763622
1,12.073429,62.005968
1,11.265071,62.149336
1,11.872503,59.751592
1,11.00368,60.027706
1,11.866556,61.330513
1,11.374926,60.114006
1,11.604949,60.090109
1,12.256838,61.236191
1,11.628152,60.077658
1,11.210795,60.11654
1,11.900072,61.946039
1,11.863277,61.330974
1,11.670229,59.623617
1,11.820113,60.847764
1,11.926636,61.90712
1,11.944683,61.244961
1,11.435527,60.822299
1,12.154915,61.054518
1,11.816134,61.296793
1,9.907861,60.120317
1,11.756019,61.922358
1,11.868658,61.938526
1,12.123421,61.041272
1,12.219037,60.52799
1,11.75866,61.918552
1,11.864122,60.845493
1,11.34821,60.19003
1,12.087039,61.04172
1,11.439093,60.026961
1,20.62457,63.95828
1,18.78443,64.5463
1,-78.77668,48.72223
1,-79.15632,48.50425
1,17.10005,60.1432
1,16.1629,60.81677
1,12.57205,63.34138
1,21.857258,60.841813
1,27.580628,61.215118
1,29.061853,63.396217
1,23.6622,61.941037
1,22.402364,60.732876
1,21.924202,62.067712
1,-78.75765,48.70388
1,-78.46399,48.15656
